"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"155",6.0219237,3.731915016,31.12552009,2.147111026,5.683108218,49.00378789,42.85562126,17.459907366,6.06877875,5.37241373,61.74650495,4.80695987
"156",6.0492716,3.766719416,31.14692829,2.155164856,5.722238018,49.26345389,42.94013486,18.512577366,6.07073804,5.45010673,61.74958799,4.88439527
"157",6.0865778,3.788316016,31.21779379,2.164289026,5.762205918,49.44378689,43.02792816,19.538097366,6.10931924,5.47693133,61.79508729,4.88439527
"158",6.1180634,3.808804916,31.34127779,2.174302026,5.762205918,49.55207489,43.17117116,20.317254366,6.12635734,5.48240302,61.90182029,4.88755569
"159",6.1610854,3.825262816,31.36306589,2.180287076,5.779840118,49.58418959,43.27230416,21.018727366,6.14957584,5.54883902,61.92699639,4.89835999
"160",6.2376323,3.834937226,31.40740269,2.190363476,5.815473218,49.83333159,43.37790216,21.413322366,6.16915954,5.64018272,61.96479819,4.95789009
"161",6.2615622,3.857802226,31.44820219,2.208664076,5.828905418,49.97338059,43.73307416,21.526480366,6.22244794,5.72369352,62.00196539,4.98112759
"162",6.3097638,3.890774126,31.47330379,2.226964676,5.921600518,50.18925259,43.81073596,21.755567366,6.30783134,5.76945812,62.00534398,5.00436509
"163",6.3641547,3.928753026,31.49549939,2.235598646,5.964755818,50.24595549,43.89315176,22.211831366,6.33995394,5.77252069,62.01061532,5.03813959
"164",6.4395542,3.954190726,31.52625469,2.264248546,6.013750718,50.27407449,44.02553576,22.263593766,6.35779644,5.78101562,62.05532052,5.07201639
"165",6.4683391,3.976093926,31.60349929,2.292898446,6.071288018,50.44042949,44.08318806,22.770694766,6.39238844,5.79934162,62.08502632,5.16255799
"166",6.4967966,4.001804726,31.66170109,2.333585246,6.082898418,50.69339949,44.15527506,22.996480766,6.41459844,5.82173872,62.09400883,5.25309959
"167",6.5182964,4.010548226,31.79429909,2.367844046,6.092522048,50.80357849,44.21603576,23.814706766,6.50581974,5.82832665,62.12556253,5.26126946
"168",6.5680609,4.058019426,31.82985629,2.380023146,6.102145678,51.00667849,44.56493576,24.379361766,6.59698394,5.83372168,62.14907983,5.27003692
"169",6.57416254,4.095348226,31.91143069,2.390181046,6.138010078,51.07131169,44.58763766,24.944898766,6.63186814,5.84235375,62.1543095,5.35053042
"170",6.58911474,4.117356926,31.98364099,2.398559516,6.168061178,51.17398869,44.63430366,25.502027766,6.64908234,5.87182475,62.166756,5.38010962
"171",6.61799664,4.132753826,32.00576739,2.408716016,6.181970078,51.21705819,44.79454566,25.837337766,6.64908234,5.94711705,62.166756,5.38490777
"172",6.68047144,4.148452126,32.06222999,2.426164316,6.181970078,51.32196219,45.01145866,26.144006766,6.66769364,5.99099775,62.2080276,5.40810567
"173",6.71198654,4.159990226,32.08932479,2.437635016,6.187736348,51.42973519,45.14986666,26.549643766,6.67036017,6.01095895,62.4091146,5.42185617
"174",6.76978894,4.171154026,32.16145989,2.447791516,6.200909648,51.65886619,45.28935366,27.433162766,6.68864637,6.02943865,62.4756577,5.42706249
"175",6.78228144,4.194357126,32.20536499,2.469814716,6.258226448,51.70024839,45.34816956,27.741773766,6.68864637,6.06317715,62.6188807,5.43913819
"176",6.80256604,4.207352826,32.22982069,2.469814716,6.282227748,51.86633739,45.59531656,28.929463766,6.70546837,6.06543487,62.7154164,5.45094549
"177",6.87105514,4.229473426,32.25456949,2.481144216,6.301206848,51.91326849,45.68930566,29.428573766,6.71142876,6.13844257,62.778632,5.54134459
"178",6.88359114,4.242327026,32.32249549,2.492473716,6.328329348,52.04377249,45.85359066,29.948057766,6.71142876,6.18592437,63.001386,5.57685829
"179",6.91462364,4.260912126,32.40488159,2.531732016,6.354324248,52.35628849,45.99744366,30.948677766,6.71280893,6.21222397,63.0788722,5.59089059
"180",6.97876024,4.288392026,32.63288759,2.557920316,6.373012548,52.41934359,46.11205166,31.398844766,6.73338363,6.24171507,63.2431132,5.59195765
"181",6.99754274,4.298707826,32.98261059,2.568076816,6.392538948,52.87541659,46.24560466,31.898604766,6.73338363,6.27844467,63.3371593,5.59195765
"182",7.02343404,4.353327226,33.22739659,2.568076816,6.440930048,53.45567759,46.32780746,32.101472766,6.77119713,6.31895787,63.5207773,5.59641475
